key,description
Lgg,"navigate to the bottom line on the screen, then move to the file's beginning"
Ldd,go to the screen's bottom and remove the line you're on  
Ldd,navigate to the base of the screen and erase the line under the cursor  
Ldd,head to the screen's lower part and delete the line you are currently on
Lyy,go to the bottom of the screen and yank the line you are on  
Lyy,navigate down to the screen's bottom and yank the line you are currently on  
Lyy,move down to the last part of the screen and yank the line under the cursor
Lciw,go to the screen's bottom and change the word you are on  
Lciw,navigate to the lower part of the screen and edit the word under the cursor  
Lciw,scroll to the bottom of the screen and modify the current word
Ldiw,go to the screen's bottom and remove the word under the cursor  
Ldiw,navigate to the bottom part of the screen and delete the word at the cursor  
Ldiw,scroll down to the bottom of the screen and erase the word under the cursor
Lci(,"go to the bottom of the screen, then modify the text inside parentheses  "
Lci(,"navigate to the screen's bottom, then edit the inside text of parentheses  "
Lci(,"scroll to the screen's lower part, then alter the text within parentheses"
Ldi(,scroll down to the bottom of the view and remove the text between the parentheses  
Ldi(,go to the bottom of the screen and erase the contents inside the parentheses  
Ldi(,navigate to the lower part of the screen and delete what is inside the parentheses
"Lci""",go to the last line visible on the screen and update the text enclosed in double quotes  
"Lci""",navigate to the screen's end and modify the content within double quotes  
"Lci""",scroll to the screen's bottom and alter the text found inside double quotes
"Ldi""",scroll to the screen's bottom and remove the text between double quotes  
"Ldi""","head to the lower part of the screen, then take out the text inside double quotes  "
"Ldi""",navigate to the bottom of the screen and delete what is within double quotes
Lci',go to the bottom of the screen and then modify the text within single quotes  
Lci',navigate to the screen's bottom and change content inside single quotes  
Lci',"move down to the bottom of the screen, then edit the text in single quotes"
Ldi',go to the bottom of the screen and delete text inside single quotes  
Ldi',navigate to the screen's bottom and remove the text within single quotes  
Ldi',drop to the lowest part of the screen and erase the text enclosed by single quotes
Gci{,"go to the screen's bottom, then edit the text within curly brackets  "
Gci{,"navigate to the lower part of the screen, then modify what is inside the curly braces  "
Gci{,"move down to the screen's end, then update the text inside the curly braces"
Ldi{,scroll to the bottom of the screen and remove the text within the curly braces  
Ldi{,navigate to the screen's bottom and erase what is contained by the curly braces  
Ldi{,go to the screen's bottom edge and delete the text found inside the curly braces
gI,enter insert mode at the start of the line  
gI,activate insert mode from the beginning of the line  
gI,move to the start of the line and switch to insert mode
0I,remove text at the start of the line and add new text at the start  
0I,cut the line from the beginning and type new text at the first position  
0I,erase and replace text at the start of the line with new words
^a,enter insert mode just after the cursor is on the first non-space character of the line  
^a,activate insert mode when the cursor reaches the line's first non-empty character  
^a,start insert mode right after the cursor moves to the line's first non-blank character
Ga,enter insert mode just after the cursor at the document's end  
Ga,go to the end of the document and switch to insert mode after the cursor  
Ga,switch to insert mode right after the cursor at the end of the file
Ha,change to insert mode just after the cursor at the screen's top  
Ha,move to insert mode right after the cursor located at the top of the screen  
Ha,enter insert mode following the cursor positioned at the top of the screen
aM,move to insert mode right after the cursor positioned at the screen's center  
aM,activate insert mode right beyond the cursor located in the screen's middle  
aM,enter insert mode following the cursor found in the center of the screen
%a,"activate insert mode right after the cursor is on a parenthesis, bracket, or brace  "
%a,"enter insert mode immediately following the cursor when it's on a parenthesis, bracket, or brace  "
%a,"change to insert mode just after the cursor is at a parenthesis, bracket, or brace"
as,enter insert mode past the cursor right at the start of the current sentence  
as,change to insert mode just after the cursor located at the start of this sentence  
as,move into insert mode where the cursor is positioned at the beginning of the present sentence
)a,enter insert mode right after the cursor at the start of the next sentence  
)a,change to insert mode just past the cursor at the beginning of the next sentence  
)a,move into insert mode immediately after the cursor at the start of the next sentence
o<Esc>,create a new line beneath and switch back to Normal mode  
o<Esc>,start a newline underneath and go back to Normal mode  
o<Esc>,insert a line after and revert to Normal mode
O<Esc>,insert a new line above and switch back to Normal mode  
O<Esc>,create an extra line above and go back to Normal mode  
O<Esc>,add a line above and return to Normal mode
3o<Esc>,create three new lines underneath and switch back to Normal mode  
3o<Esc>,insert three fresh lines beneath and go back to Normal mode  
3o<Esc>,add three lines below and return to Normal mode
3O<Esc>,start three new lines above and go back to Normal mode  
3O<Esc>,insert three lines above and switch back to Normal mode  
3O<Esc>,create three lines above and exit to Normal mode
ce,modify text from the cursor position to the word's end  
ce,edit from the current cursor spot to the end of the word  
ce,alter the text starting from the cursor up to the word's conclusion
d$a,remove everything from the cursor to the line's end and place text at the word's end  
d$a,cut the line from where the cursor is to its finish and insert text after the word  
d$a,clear from the cursor to line end and add text to the word's end
c$a,switch text from the cursor to the line's end and add text after the word  
c$a,alter from the cursor position to the line's finish and input text at the word's end  
c$a,modify the section from the cursor to the end of the line and type at the word's conclusion
y$ea,copy from the cursor to the end of the line and add text at the end of the word  
y$ea,copy from where the cursor is to the line's end and put text at the word's end  
y$ea,cut from the current cursor position to the end of the line and enter text at the end of the word
d3ea,remove the next three words from the cursor and add text at the word's end  
d3ea,delete the following three words and place text at the end of a word  
d3ea,remove three words after the cursor and insert text at the end of the word
c3e,alter three consecutive words ahead of the cursor and append text at the conclusion of the word  
c3e,modify the next three words from the cursor and insert text at the word's end  
c3e,revise the three words forward from the cursor and add text to the end of the word
y3w,copy three words starting from the cursor and place the text at the word's end  
y3w,take three words ahead of the cursor and add text to the end of the word
2d$ea,erase twice from the cursor to the line's end and add text after the word's end  
2d$ea,remove twice from where the cursor is to the end of the line and insert text at the end of the word  
2d$ea,delete to the line's finish twice from the cursor and place text after the word's ending
2c$ea,twice modify the text from the cursor to the end of the line and add text at the word's end  
2c$ea,alter twice from your current position to the end of the line and insert text after the word  
2c$ea,make changes from the cursor to the end of the line two times and then add text at the word's end
2y$ea,copy from cursor to the end of the line two times and put text at the end of the word  
2y$ea,duplicate from the cursor to the line's end twice and add text after the word  
2y$ea,grab from the cursor to the end of the line twice and insert text right after the word
rA,change the existing character to 'A'  
rA,switch the present character to 'A'  
rA,substitute the character here with 'A'
r1,substitute the present character with '1'  
r1,change the active character to '1'  
r1,switch out the current character for '1'
r.,change the character under the cursor to a dot  
r.,substitute the current letter with a period  
r.,swap the current character with a full stop
r:,substitute the current character with ':'  
r:,switch the active character to ':'  
r:,change the present character to ':'
r>,swap the current character for '>'  
r>,change the current character to '>'  
r>,substitute the current character with '>'
2dd,remove this line and the next one
db,"""remove text from the cursor back to the start of the word"""
dj,remove this line and the line that follows
d2j,remove the line you're on and the following two lines
dk,remove this line along with the one before it  
dk,erase this row and the row above it
d2k,remove the current line along with the two lines above  
d2k,erase the current line and the two prior lines
D,"""erase from where the cursor is to the line's end"""
c2wA,"change everything from the cursor to the end of the next two words, then add more text after these words  "
c2wA,"substitute the text from the cursor up to the end of the next two words, and then append following the words  "
c2wA,"alter the content starting from the cursor to the conclusion of the next two words, and append text after them"
c$o,change text from the cursor to the line's end and then add text after the line  
c$o,modify from the cursor to the line's end and then insert content after the line  
c$o,alter from the cursor to the line's end and follow with appending after the line
dea,"remove text from the cursor to the end of this word, then add text after it  "
dea,eliminate from the cursor to the word's end and insert after the word  
dea,"cut text starting at the cursor and continuing to the end of the word, then append after the word"
d2wp,remove everything between the cursor and the end of the next two words then add after those words  
d2wp,cut the text from the cursor up to the end of two words forward and insert text after them
d$o,remove from the cursor to the line's end and add after the line  
d$o,erase from where the cursor is to the end of the line and insert after the line  
d$o,cut from the cursor to the line's end and append after the line
c$O,start replacing from the cursor to the line's end and place content before that line  
c$O,change text from the cursor to the end of the line and insert at the start of the line  
c$O,modify from the cursor position until the line's end and add content before the line
"ci""",modify the text within the current double quotes  
"ci""",alter the content inside the current double quotes
"yi""",copy text within the current double quotes  
"yi""",duplicate the content inside the existing double quotes
ci(,modify text within the current parentheses  
ci(,alter the content inside the current parentheses
ci{,"""modify the text within the curly brackets"""
ci[,alter the content within the current square brackets  
ci[,modify the text inside the existing square brackets
yi[,copy text located between the current square brackets
S,remove a line and switch to insert mode  
S,cut a line and enter insert mode  
S,erase a line and go to insert mode
c2j,remove the next two lines and switch to insert mode  
c2j,cut the two lines below and enter insert mode  
c2j,"erase the following two lines, then move to insert mode"
c2k,remove the two lines above cursor and enter insert mode  
c2k,erase the two lines above the cursor and switch to insert mode  
c2k,delete the lines above the cursor and change to insert mode
c3b,move backward and delete three words then enter insert mode  
c3b,remove three words behind the cursor and switch to insert mode  
c3b,"go back three words, delete them, and change to insert mode"
c3j$,remove cursor to line end three lines down and switch to insert mode  
c3j$,cut text from cursor to end of line three lines next and enter insert mode  
c3j$,erase from cursor to the line end three places below and go to insert mode
c3k,erase content from the cursor to the start of the file three lines up and enter insert mode  
c3k,remove data from where the cursor is to the beginning of the file above three lines and switch to insert mode  
c3k,clear text from the cursor to three lines above and start of file then go into insert mode
c/f,remove text from cursor up to the first 'f' and switch to insert mode  
c/f,cut from cursor location to the next 'f' and enter insert mode  
c/f,erase until the first 'f' and activate insert mode
cTt,Remove text from the cursor up to the character before the first 't' and switch to insert mode  
cTt,"Cut the content starting at the cursor and stopping right before the first 't', then enter insert mode  "
cTt,Erase from where the cursor is positioned to just before the first 't' appears and go into insert mode
c/word,cut text from current position to the next occurrence of 'word' and switch to insert mode  
c/word,remove text from the cursor to the following 'word' and enter insert mode  
c/word,erase content from cursor until the next 'word' and change to insert mode
c?word,remove text from the cursor to the last found instance of 'word' and enter insert mode  
c?word,erase content from the cursor back to the previous 'word' and switch to insert mode  
c?word,cut from the cursor back to the earlier occurrence of 'word' and shift to insert mode
4J,"combine the next three lines with this one, adding spaces in between"
ddJ,Remove the present line and connect the following one with a space separating them  
ddJ,"Eliminate the current line and join the next line, inserting a space in between  "
ddJ,Remove the current line and combine the next line after adding a space between them
dd3J,remove this line and join the following three lines adding spaces in between  
dd3J,cut the present line and combine it with the next three lines with spaces separating them  
dd3J,eliminate the active line and connect it with the subsequent three lines by inserting spaces
dd2J,Remove the current line and join the two following lines by adding spaces between them  
dd2J,Erase the whole line and combine the next two lines with spaces separating them  
dd2J,Delete the line where the cursor is and link the subsequent two lines with spaces
3J,join this line with the next three lines and remove them  
3J,combine this line with the three lines that follow and erase them  
3J,attach this line to the subsequent three lines and get rid of them
J2,merge this line with the next two lines then remove this line  
J2,combine this line with the following two lines and get rid of this line  
J2,join this line with the next couple of lines and take out this line
Jp,combine the current line with the next and insert the clipboard contents afterward   
Jp,"join the current line and the following one, then paste the clipboard after them  "
Jp,"connect the current and next line, then add the clipboard right after"
3Jp,combine the present line with the following three lines then paste the clipboard contents afterwards  
3Jp,join the current line with the next three lines and then insert what's in the clipboard after that  
3Jp,fuse the current line with the three lines that follow it and paste the clipboard data afterward
Jyy,combine the current line with the next and yank the combined line  
Jyy,join the current line to the next one and yank that line  
Jyy,concatenate the current line with the following line and yank the result
3Jyy,combine the current line with the following three lines and copy the outcome  
3Jyy,join the existing line with the next three lines and put the result in the yank buffer
4JP,combine the current line with the next three lines and insert the clipboard content before it  
4JP,join the current line with the following three lines and place what's in the clipboard ahead of it  
4JP,"merge the current line and the next three lines, then add the clipboard before them"
2Jp,join the current line with the following two lines and insert the clipboard content after it  
2Jp,combine the current line with the next two lines and put the clipboard contents after it  
2Jp,connect the current line with the two lines below and paste what's in the clipboard after it
gJ3,combine the following three lines with the current line leaving no spaces between them  
gJ3,join the current line with the next three lines without any spaces in between  
gJ3,attach the next three lines to this one without including spaces
2jgJ,go down two lines and combine the next line with the existing one without adding spaces
2jgJ,navigate two lines downward and join the following line to the present one with no space separating them
2jgJ,descend two lines and attach the next line directly to the current line without a space
3kgJ,go up three lines and join the next line to this one with no space between them  
3kgJ,navigate three lines up and combine the next line with the current one without adding space  
3kgJ,head up three lines then attach the next line to this one directly with no gap
4gJ,remove the upcoming three lines and join them to the present line with no space between them  
4gJ,erase the following three lines and connect them to the existing line without spaces in between
gJ3j,copy the following three lines and join them to the current line without any space separating them  
gJ3j,grab the next three lines and append them to the current line with no spaces in between
3gJ,insert the following three lines right before the current one and combine them with no gaps between
3gJ,place the next three lines just above the current line and join them without adding any spaces
d$gJ,remove all text from the cursor to the end of the line and join with the current line without spaces  
d$gJ,erase from the cursor to the line's end and combine with the present line seamlessly  
d$gJ,cut everything after the cursor up to the line's finish and link it to the existing line directly
3dWgJ,remove the next three WORDS and join them to the current one without adding a space  
3dWgJ,erase the following three WORDS and attach them to the current one without a space  
3dWgJ,delete the subsequent three WORDS and connect them to the current one with no space
gJd3),remove the following three sentences and join them with the current one without any spaces  
gJd3),erase the next three sentences and connect them directly to the current sentence  
gJd3),cut the upcoming three sentences and attach them to the current one without gaps
3dEgJ,"""remove the following three SENTENCES and connect them to the current one without spaces"""
3dEgJ,"""erase the next trio of SENTENCES and join them with the current sentence with no gap"""
3dEgJ,"""take away the subsequent three SENTENCES and attach them to the existing one directly"""
Ctrl+r,repeat the last undone action  
Ctrl+r,apply the last reversal again  
Ctrl+r,restore the most recent undone edit
d/pattern,"""remove text up until the next instance of pattern""  "
d/pattern,"""cut content leading up to the next appearance of pattern""  "
d/pattern,"""clear everything prior to the next occurrence of pattern"""
di%,remove contents inside matching parentheses or brackets  
di%,erase text contained within matching parentheses or brackets  
di%,clear the area between matching parentheses or brackets
das,remove a sentence  
das,erase a sentence  
das,cut a sentence
dis,remove the sentence inside  
dis,erase the whole sentence within  
dis,delete the entire sentence inside
"da""",remove a string that is surrounded by double quotes  
"da""",eliminate a sequence of text enclosed in double quotes
dap,remove a paragraph  
dap,erase a paragraph  
dap,get rid of a paragraph
da[,remove brackets and everything inside  
da[,get rid of brackets and their contents
d',remove text up to the prior mark  
d',erase content until hitting the earlier mark  
d',cut everything back to the last set mark
d``,remove to the last location  
d``,erase to the former spot  
d``,cut to the earlier place
dH,remove up to the top of the screen  
dH,erase content reaching to the screen's top  
dH,clear text all the way to the top of the display
dM,remove text up to the screen's midpoint  
dM,erase content till halfway down the screen  
dM,cut text to the center of the display
dCtrl+U,remove half a page upwards  
dCtrl+U,erase half a screen above  
dCtrl+U,clear half a view going up
dCtrl+D,remove half a page below  
dCtrl+D,erase half a screen from here downward  
dCtrl+D,clear half a screen further down
dCtrl+F,remove a screenful down  
dCtrl+F,erase content one screen length down  
dCtrl+F,clear one screen of text downward
dCtrl+B,remove one screenful above  
dCtrl+B,clear one screenful upwards  
dCtrl+B,erase one screen page earlier
dCtrl+w,remove the previous word  
dCtrl+w,erase the word to the left  
dCtrl+w,take away the word behind
dT<Tab>,remove one tab to the left  
dT<Tab>,erase a tab character behind  
dT<Tab>,eliminate a single tab space backwards
d<Tab>,remove a tab to the right  
d<Tab>,eliminate a tab to the next position  
d<Tab>,delete the next tab
df),remove until the function call ends  
df),erase up to the conclusion of the function call  
df),clear everything to the end of the function call
Y,yank the whole line  
Y,copy the full line  
Y,copy the entire line
yj,yank the current line and the line after it  
yj,duplicate the current line and the next one using yank  
yj,use yank to copy this line and the following one
y-,yank the current line and the one before it  
y-,yank the line you are on and the prior line  
y-,copy the current line together with the line just before it
y3b,yank the current word along with the two words before it  
y3b,save the current word and the two preceding words using yank  
y3b,use yank to copy the current word plus the two that come before it
y/word,yank from the cursor to the next appearance of 'word'  
y/word,copy starting at the cursor through to the following instance of 'word'
y?word,yank from cursor position back to the last occurrence of 'word'  
y?word,copy starting from the cursor going back to the previous 'word' occurrence
v$hy,"yank from cursor to almost end of the line, leaving out the final character  "
v$hy,copy text from the cursor to just before the line ends  
v$hy,"grab from cursor to nearly end of the line, skipping the last character"
2yy,"""duplicate this line and the line below it"""
y2k,duplicate the current line as well as the one above  
y2k,replicate the line you are on and the one before it  
y2k,make a copy of this line and the previous line
y2b,replicate the word at the cursor along with the two words before it  
y2b,duplicate the word you're on and the two words that come before it  
y2b,take the word under the cursor plus the two preceding words
y2j|2j,"duplicate this line along with the one below it, then go down two more lines  "
y2j|2j,"replicate the present line and the line just after it, then descend two lines  "
y2j|2j,"take the current line and the one right beneath it, then shift down two lines"
2yy2k,"""duplicate the current line and the line above, then go up two lines""  "
2yy2k,"""grab the current line and the one before it, then move upward two lines""  "
2yy2k,"""copy the line you are on and the one right before, then shift up two lines"""
"yf,",duplicate everything from the cursor up to and including the next comma  
"yf,","select and copy text from the current position to the next comma, the comma included  "
"yf,","from where you are now, copy everything to and include the next comma"
"yF,","copy starting from the cursor back to the last comma, and include the comma  "
"yF,",copy from the cursor up to the previous comma and make sure to include it  
"yF,","copy text from the current position to the last comma, making sure the comma is included"
"yt,",copy up to the character right before the next comma  
"yt,",select the text from the cursor position until right before the next comma  
"yt,",highlight the text starting from the cursor to just before the upcoming comma
"yT,",copy from where the cursor is to up before the last comma  
"yT,",select text from the cursor position back to right before the previous comma  
"yT,",highlight from the cursor up to just before the last comma
df<char>,remove everything until and including the next <char> in this line  
df<char>,erase up to and inclusive of the next <char> in the current line  
df<char>,cut content up to and including the next <char> on this line
d/<pattern>,remove text from the cursor position up to the next <pattern> occurrence  
d/<pattern>,eliminate everything between the cursor and the following <pattern> occurrence  
d/<pattern>,erase from the cursor until you reach the next <pattern> occurrence
d4k,remove this line and the four lines above it  
d4k,erase the line you're on and the four lines before it  
d4k,get rid of the line you're on plus the four lines directly above
"df,",remove everything up to and including the next comma  
"df,",erase text until and through the next comma
dt.,remove text until the next period but do not include it  
dt.,cut everything up to the next period without including it  
dt.,delete everything before the next period without deleting it
d/word/e,remove everything through the next occurrence of 'word'  
d/word/e,erase text up to and including the next time 'word' appears  
d/word/e,cut up to and including the next 'word' occurrence
2p,repeat the pasted yank twice right after the cursor  
2p,insert the yanked text two times following the cursor  
2p,add the copied content two times after the cursor
ywP,copy a word and insert it in front of the cursor  
ywP,duplicate a word and put it right before the cursor  
ywP,grab a word and place it ahead of the cursor
dwp,remove a word and put it after the cursor  
dwp,cut a word and insert it following the cursor  
dwp,erase a word and reposition it after the cursor
y$P,copy from the cursor to the line's end and insert it in front of the cursor  
y$P,yank till line's end from the cursor and paste it right before the cursor  
y$P,duplicate text from the current cursor point to the end of the line and place it before the cursor
3ddp,cut three lines and insert them after the cursor  
3ddp,remove three lines and put them after the cursor  
3ddp,erase three lines and place them after the cursor
yyP,copy the line you're on and place it before the cursor  
yyP,duplicate the active line and insert it ahead of the cursor  
yyP,grab the current line and move it in front of the cursor
d2jP,take out two lines after and insert them in front of the cursor  
d2jP,remove the following two lines and place them ahead of the cursor  
d2jP,cut the next two lines and move them to before the cursor
yapP,copy a paragraph and insert it in front of the cursor  
yapP,grab a paragraph and put it before the cursor  
yapP,take a paragraph and place it ahead of the cursor
y2wp,copy two words and place them right after the cursor  
y2wp,grab two words and insert them following the cursor  
y2wp,take two words and move them to the position after the cursor
d$P,cut from the cursor to the line's end and insert it before the cursor  
d$P,remove from the cursor to the line's end and place it in front of the cursor  
d$P,erase to the end of the line from the cursor and move it before the cursor
y2jP,copy the next two lines and insert them above the cursor  
y2jP,duplicate two lines underneath and place them in front of the cursor  
y2jP,take two subsequent lines and move them to before the cursor
2ddp,remove two lines and insert them after the cursor  
2ddp,cut two lines and relocate them after the cursor  
2ddp,erase two lines and place them following the cursor
2yyP,copy two lines and insert them before the cursor  
2yyP,take two lines and put them in front of where the cursor is  
2yyP,duplicate two lines and move them to the position before the cursor
ddP,remove the line and insert it in front of the cursor  
ddP,cut the line and put it ahead of the cursor  
ddP,erase the line and move it to the position before the cursor
2P,insert the yanked content two times before the cursor  
2P,place the copied text before the cursor two times  
2P,add the yanked material twice in front of the cursor
2ddP,remove two lines and insert them above the cursor  
2ddP,cut two lines and place them in front of the cursor  
2ddP,take out two lines and add them ahead of the cursor
Pj,place the copied content above the current line and move one line down  
Pj,insert the yanked content above the present line and then go down one line  
Pj,put the copied text before the current line and advance one line down
Pk,Insert the yanked content in front of the current line and move up a line  
Pk,Put the yanked text above the current line and go up one line  
Pk,Place the copied content before this line and shift one line up
$P,insert the yanked text before the line's end  
$P,place the copied content right before the line ends  
$P,put the yanked material just ahead of the end of the line
0P,put the copied content right before the start of the line  
0P,insert the yanked text just before the line begins  
0P,add the copied data directly before the line's start
eP,insert the yanked content right before the end of the current word  
eP,place the copied text just before the end of the word you're on  
eP,put the yanked material directly before the conclusion of the current word
2wP,put the yanked content in front of the next two words  
2wP,insert the yanked material before the following two words  
2wP,place the yanked text ahead of the next two words
3eP,insert the yanked text before the end of the upcoming three words  
3eP,place the copied content just before the end of the next set of three words  
3eP,put the yanked material right before the finish of the following three words
%P,Place the yanked text in front of the corresponding parenthesis  
%P,Insert the yanked content right before the matching parenthesis  
%P,Add what's been yanked just ahead of the matching parenthesis
/patternP,insert the yanked text before the next match of the search pattern  
/patternP,place the copied content ahead of where the search pattern appears next  
/patternP,add the yanked material right before the next instance of the search pattern
ffP,insert the yanked text right before you encounter the next 'f' character in the current line  
ffP,place the yanked material just ahead of the next appearance of 'f' in the line you're on  
ffP,position the copied content directly before the upcoming 'f' character in the present line
2fP,paste the yanked text before the next two times the character 'f' appears on this line  
2fP,insert the yanked content before the next two appearances of the character 'f' in the current line  
2fP,place the yanked material before the upcoming two instances of the character 'f' on this line
c,alter the selected text  
c,modify the highlighted text  
c,revise the chosen text
x,remove the character where the cursor is placed  
x,erase the character that is under the cursor  
x,get rid of the character currently beneath the cursor
X,remove the character to the left of the cursor  
X,erase the character directly before the cursor  
X,delete the character just behind the cursor
3dw,remove this word and the next two words  
3dw,erase the word here and the two following words
3cw,modify the current and following two words  
3cw,alter the current word plus the next two words  
3cw,edit the current word and the two words after it
ca(,alter the text within the parentheses  
ca(,modify the contents inside the parentheses  
ca(,update the section bounded by the parentheses
ya(,copy everything inside the parentheses  
ya(,duplicate text within the parentheses  
ya(,extract content enclosed by the parentheses
"ca""",alter text inside the double quotes  
"ca""",modify the content within the double quotes  
"ca""",replace what is inside the double quotes
"ya""",copy the content inside the double quotes  
"ya""",grab the text inside the double quotes  
"ya""",select and copy the text within the double quotes
ci',alter content within the single quotes  
ci',modify text between the single quotes  
ci',update the section inside the single quotes
di',remove the text within the single quote marks  
di',erase what is contained inside the single quote marks
yi',copy the text that is between single quotation marks  
yi',grab what is contained within the single quotes  
yi',select and copy everything inside the single quotation marks
ca',modify the text within the single quotes  
ca',alter the content between the single quotes  
ca',edit the section enclosed by single quotes
da',remove everything surrounded by single quotes  
da',erase the content inside single quotes and the quotes themselves  
da',clear all text that is wrapped in single quotes
ya',copy text surrounded by single quotes  
ya',duplicate content within single quotes  
ya',select and yank text enclosed in single quotes
ca{,modify the content inside the curly braces  
ca{,alter the text located within the curly braces  
ca{,revise what is enclosed by the curly braces
ya{,copy content between the curly braces  
ya{,duplicate text inside the curly braces
ca[,modify content within the square brackets  
ca[,alter the area inside the square brackets  
ca[,revise the text surrounded by square brackets
ya[,copy the text within the square brackets  
ya[,duplicate everything inside the square brackets  
ya[,save the content surrounded by the square brackets
Vj,select this line and the next line  
Vj,highlight the current line and the one that follows  
Vj,mark the present line and the subsequent line
V2j,choose the current line along with the next two lines  
V2j,highlight the current line plus the following two lines  
V2j,mark the current line and the subsequent two lines
V2k,highlight the current line along with the two lines above  
V2k,choose the current line as well as the two preceding lines  
V2k,mark the current line plus the two lines before it
v$,highlight from the cursor to the end of the line  
v$,mark everything from the cursor to the line's end  
v$,choose text from where the cursor is to the end of the current line
v0,select to the start of the line from where the cursor is placed  
v0,highlight from the cursor to the start of the line  
v0,choose the text between the cursor's spot and the beginning of the line
Vgg,choose text from the cursor back to the start of the file  
Vgg,highlight everything from where the cursor is to the file's beginning  
Vgg,mark the text from the cursor position up to the start of the file
vG,highlight text from the cursor to the end of the document  
vG,mark everything from where the cursor is to the document's conclusion  
vG,extend the selection from the current cursor spot to the file's end
viw,highlight the word under the cursor  
viw,mark the present word  
viw,choose the word at the cursor location
v2w,highlight the current word along with the following word  
v2w,choose the current word and also the next word  
v2w,mark the current word and the word that comes after it
vb,highlight the current word along with the word before it  
vb,choose the word you're on and the one right before it  
vb,mark both the current and preceding words
"vf,",highlight text from where the cursor is to the next comma  
"vf,",mark the text from the cursor spot to the following comma  
"vf,",choose the text starting at the cursor up to the next comma
"v2f,",highlight from the cursor location to the second comma forward  
"v2f,",mark the text starting at the cursor up to the second comma ahead  
"v2f,",choose the section from where the cursor is to the next two commas
v3t.,highlight text from where the cursor is to right before the third period  
v3t.,mark everything from the cursor to the spot just before the third dot  
v3t.,choose text starting from the cursor position up to just before the third full stop
v3f.,highlight from where the cursor is to just past the third time a period shows up  
v3f.,mark text starting at the cursor and ending right after the third period appears  
v3f.,choose text from the cursor up to just beyond the third appearance of a period
2dw,remove the highlighted word along with the following word  
2dw,take out the current word and the subsequent word  
2dw,erase the chosen word plus the word after it
"d2df,",remove the highlighted text starting from the cursor up to the second comma ahead  
"d2df,",erase the chosen text beginning at the cursor and ending at the second comma forward  
"d2df,",cut the selected text from where the cursor is to the point of the second upcoming comma
3dt.,remove the highlighted text starting from where the cursor is to right before the third period  
3dt.,erase the chosen text starting at the cursor up to just in front of the third dot  
3dt.,delete the specified text from the cursor location up to just before the third full stop
d3f.,"""remove the chosen text starting at the cursor and ending after the third period"""
"Ctrl+v, I",insert text at the start of every line within the block  
"Ctrl+v, I",add text at the front of each line in the selected block  
"Ctrl+v, I",place text at the beginning of all lines in the block
"Ctrl+v, A",add text to the end of every line within the block  
"Ctrl+v, A",insert text at the finish of each line in the block  
"Ctrl+v, A",place text at the end of all lines in the block
"Ctrl+v, d",remove the chosen block  
"Ctrl+v, d",erase the highlighted block  
"Ctrl+v, d",take out the marked block
"Ctrl+v, y",copy the selected block using yank  
"Ctrl+v, y",use yank to copy the highlighted block  
"Ctrl+v, y",yank to duplicate the chosen block
"Ctrl+v, c",alter the chosen block  
"Ctrl+v, c",modify the highlighted block  
"Ctrl+v, c",edit the marked block
"Ctrl+v, >",increase the indent of the selected block  
"Ctrl+v, >",shift the selected block to the right  
"Ctrl+v, >",add indentation to the highlighted block
"Ctrl+v, <",remove indentation from the highlighted block  
"Ctrl+v, <",decrease indent level of the chosen block  
"Ctrl+v, <",unindent the block that is selected
"Ctrl+v, r",change the highlighted area to one character  
"Ctrl+v, r",substitute the chosen section with one character  
"Ctrl+v, r",switch the marked block to a single character
"Ctrl+v, s",replace the highlighted area with fresh content  
"Ctrl+v, s",swap the chosen section with updated text  
"Ctrl+v, s",change the marked block to different text
"Ctrl+v, o",shift the cursor to the opposite end of the block  
"Ctrl+v, o",navigate the cursor to the far end of the block  
"Ctrl+v, o",bring the cursor to the alternate end of the block
"Ctrl+v, P",place the copied block before the cursor  
"Ctrl+v, P",insert the yanked block in front of the cursor  
"Ctrl+v, P",put the yanked block ahead of the cursor
"Ctrl+v, U",make the highlighted section all uppercase  
"Ctrl+v, U",change the marked area to capital letters  
"Ctrl+v, U",turn the chosen part into uppercase letters
gu,change the chosen block to lowercase  
gu,make the highlighted section lowercase  
gu,turn the selected text into lowercase
"Ctrl+v, ~",change the case of the highlighted area  
"Ctrl+v, ~",switch the case for the chosen section  
"Ctrl+v, ~",modify the case of the current block
VJ,combine the lines within the chosen block  
VJ,merge the lines in the highlighted area  
VJ,unite the lines in the marked section
"Ctrl+v, ""_d",remove the selected block without copying it  
"Ctrl+v, ""_d",cut the highlighted section without saving it to the clipboard  
"Ctrl+v, ""_d",erase the chosen area without storing it for later
"Ctrl+v, ""_c",alter the highlighted block without copying  
"Ctrl+v, ""_c",modify the chosen section without saving it to the buffer  
"Ctrl+v, ""_c",edit the marked area without duplicating it into memory
Ctrl+v y,copy the highlighted section while keeping it intact  
Ctrl+v y,duplicate the chosen text without removing it  
Ctrl+v y,grab the specified area without cutting it
d3t;,delete from the cursor to the third ';' occurrence  
d3t;,clear text starting at the cursor up to the third ';'  
d3t;,remove content between the cursor and the third ';' icon
d/word,remove everything from the cursor to the next 'word' occurrence
"d2f,","remove text from the current cursor position up to the second ','  "
"d2f,","erase everything starting from the cursor to the second ','"
d2f),remove everything from the cursor up to the second closing parenthesis  
d2f),erase text starting at the cursor until you reach the second closing parenthesis
d2f],remove text from the cursor up to the second closing bracket  
