key,description
d0w,delete from the cursor position to the beginning of the current word
d2j,delete the current line and the next line
d3j,delete the current line and the next two lines
d2k,delete the current line and the previous line
d3k,delete the current line and the previous two lines
dG,delete from the current line to the end of the file
dgg,delete from the current line to the beginning of the file
d$,delete from the cursor position to the end of the line
d0,delete from the cursor position to the beginning of the line
daw,delete the word under the cursor along with surrounding whitespace
diw,delete the word under the cursor without surrounding whitespace
d2w,delete the current word and the next word
d3w,delete the current word and the next two words
d$w,delete from the cursor position to the end of the current word
C,replace from the cursor to the end of the line
Cw,replace from the cursor to the end of the current word
C2w,replace from the cursor to the end of the next two words
C$,replace from the cursor to the end of the line
dC,delete from the cursor to the end of the line
dCw,delete from the cursor to the end of the current word
dC2w,delete from the cursor to the end of the next two words
dC$,delete from the cursor to the end of the line
CwA,replace from the cursor to the end of the current word and append after the word
C2wA,replace from the cursor to the end of the next two words and append after the words
C$A,replace from the cursor to the end of the line and append after the line
dCwA,delete from the cursor to the end of the current word and append after the word
dC2wA,delete from the cursor to the end of the next two words and append after the words
dC$A,delete from the cursor to the end of the line and append after the line
CwI,replace from the cursor to the end of the current word and insert before the word
C2wI,replace from the cursor to the end of the next two words and insert before the words
C$I,replace from the cursor to the end of the line and insert before the line
cw,replace from the cursor to the end of a word
dW,delete from the cursor to the beginning of the next word
d$,delete from the cursor to the end of the line
c$,change from the cursor to the end of the line
cW,change from the cursor to the beginning of the next word
ciw,change inside the current word
diw,delete inside the current word
yiw,yank inside the current word
"ci""",change inside the current double quotes
"di""",delete inside the current double quotes
"yi""",yank inside the current double quotes
ci(,change inside the current parentheses
di(,delete inside the current parentheses
yi(,yank inside the current parentheses
ci{,change inside the current curly braces
di{,delete inside the current curly braces
yi{,yank inside the current curly braces
ci[,change inside the current square brackets
di[,delete inside the current square brackets
yi[,yank inside the current square brackets
cB,change from the cursor to the beginning of the previous word
dB,delete from the cursor to the beginning of the previous word
cE,change from the cursor to the end of the current word
dE,delete from the cursor to the end of the current word
d,delete a character (and move into insert mode)
dw,delete a word (and move into insert mode)
dW,delete a WORD (and move into insert mode)
dd,delete a line (and move into insert mode)
d$,delete from cursor to end of line (and move into insert mode)
d0,delete from cursor to beginning of line (and move into insert mode)
dG,delete from cursor to end of file (and move into insert mode)
dgg,delete from cursor to beginning of file (and move into insert mode)
d2j,delete two lines below cursor (and move into insert mode)
d2k,delete two lines above cursor (and move into insert mode)
d3w,delete three words forward (and move into insert mode)
d3b,delete three words backward (and move into insert mode)
d3$,delete from cursor to end of line three lines below (and move into insert mode)
d3gg,delete from cursor to beginning of file three lines above (and move into insert mode)
dFf,delete from cursor to first occurrence of 'f' (and move into insert mode)
dTt,delete from cursor to just before first occurrence of 't' (and move into insert mode)
d/word,delete from cursor to next occurrence of 'word' (and move into insert mode)
d?word,delete from cursor to previous occurrence of 'word' (and move into insert mode)
J,merge the line below to the current one with a space in between them
3J,merge the next three lines to the current one with spaces in between
J3,merge the current line with the next three lines with spaces in between
dJ,delete the current line and merge the next one with a space in between
d3J,delete the current line and merge the next three lines with spaces in between
d2J,delete the current line and merge the next two lines with spaces in between
Jd,merge the current line with the next one and delete it
3Jd,merge the current line with the next three lines and delete them
Jdd,merge the current line with the next one and delete the current line
J2dd,merge the current line with the next two lines and delete the current line
J3dd,merge the current line with the next three lines and delete the current line
Jp,merge the current line with the next one and paste the clipboard after it
3Jp,merge the current line with the next three lines and paste the clipboard after it
Jyy,merge the current line with the next one and yank the result
3Jyy,merge the current line with the next three lines and yank the result
J3p,merge the current line with the next three lines and paste the clipboard before it
J2p,merge the current line with the next two lines and paste the clipboard after it
J2yy,merge the current line with the next two lines and yank the result
gJ,merge the line below to the current one with no space in between them
gJ3,merge the next three lines to the current one with no space in between them
gJ2j,move down two lines and merge the line below to the current one with no space in between them
gJ3k,move up three lines and merge the line below to the current one with no space in between them
gJd,delete the line below and merge it to the current one with no space in between them
gJ3dd,delete the next three lines and merge them to the current one with no space in between them
gJ3yy,yank the next three lines and merge them to the current one with no space in between them
gJ3p,paste the next three lines below and merge them to the current one with no space in between them
gJ3P,paste the next three lines above and merge them to the current one with no space in between them
gJ3c,change the next three lines and merge them to the current one with no space in between them
gJ3C,change the next three lines to the end of the line and merge them to the current one with no space in between them
gJ3d$,delete from the cursor to the end of the line and merge it to the current one with no space in between them
gJ3D,delete from the cursor to the end of the line and merge it to the current one with no space in between them
gJ3dw,delete the next three words and merge them to the current one with no space in between them
gJ3dW,delete the next three WORDS and merge them to the current one with no space in between them
gJ3de,delete the next three sentences and merge them to the current one with no space in between them
gJ3dE,delete the next three SENTENCES and merge them to the current one with no space in between them
u,undo the last change
Ctrl-r,redo the last undone change
u u,undo the last two changes
Ctrl-r Ctrl-r,redo the last two undone changes
u u u,undo the last three changes
Ctrl-r Ctrl-r Ctrl-r,redo the last three undone changes
u u u u,undo the last four changes
Ctrl-r Ctrl-r Ctrl-r Ctrl-r,redo the last four undone changes
u u u u u,undo the last five changes
Ctrl-r Ctrl-r Ctrl-r Ctrl-r Ctrl-r,redo the last five undone changes
u u u u u u,undo the last six changes
Ctrl-r Ctrl-r Ctrl-r Ctrl-r Ctrl-r Ctrl-r,redo the last six undone changes
u u u u u u u,undo the last seven changes
Ctrl-r Ctrl-r Ctrl-r Ctrl-r Ctrl-r Ctrl-r Ctrl-r,redo the last seven undone changes
u u u u u u u u,undo the last eight changes
Ctrl-r Ctrl-r Ctrl-r Ctrl-r Ctrl-r Ctrl-r Ctrl-r Ctrl-r,redo the last eight undone changes
u u u u u u u u u,undo the last nine changes
Ctrl-r Ctrl-r Ctrl-r Ctrl-r Ctrl-r Ctrl-r Ctrl-r Ctrl-r Ctrl-r,redo the last nine undone changes
u,undo the last change
Ctrl + r,redo the last undone change
"Ctrl + r, Ctrl + r",redo the last undone change twice
"u, u",undo the last two changes
"Ctrl + r, u",redo the last undone change and then undo it again
"u, Ctrl + r",undo the last change and then redo it
"u, u, Ctrl + r",undo the last two changes and then redo the last undone change
"Ctrl + r, u, u",redo the last undone change and then undo the last two changes
"u, Ctrl + r, Ctrl + r",undo the last change and then redo it twice
"Ctrl + r, u, Ctrl + r","redo the last undone change, undo it, and then redo it again"
"u, Ctrl + r, u","undo the last change, redo it, and then undo it again"
"Ctrl + r, u, u, Ctrl + r","redo the last undone change, undo it twice, and then redo it again"
"u, u, Ctrl + r, Ctrl + r",undo the last two changes and then redo them twice
"Ctrl + r, Ctrl + r, u",redo the last two undone changes and then undo the last change
"u, Ctrl + r, Ctrl + r, u","undo the last change, redo it twice, and then undo it again"
"Ctrl + r, u, Ctrl + r, u","redo the last undone change, undo it, redo it again, and then undo it again"
"u, u, Ctrl + r, u",undo the last two changes and then redo the last undone change and undo it again
"Ctrl + r, Ctrl + r, u, u",redo the last two undone changes and then undo them twice
dw,delete word
dW,delete WORD
dd,delete line
D,delete to end of line
d$,delete to end of line
d0,delete to beginning of line
dG,delete to end of file
dgg,delete to beginning of file
d/,delete up to next occurrence of pattern
d?pattern,delete up to previous occurrence of pattern
dF<char>,delete up to and including previous occurrence of character
dT<char>,delete up to but not including previous occurrence of character
d%,delete between matching parentheses or brackets
daw,delete a word including trailing whitespace
diw,delete inner word
das,delete a sentence
dis,delete inner sentence
"da""",delete a double-quoted string including quotes
"di""",delete inner double-quoted string
dap,delete a paragraph
di(,delete inner parentheses
da(,delete parentheses including contents
di{,delete inner braces
da{,delete braces including contents
di[,delete inner brackets
da[,delete brackets including contents
"di""",delete inner double quotes
"da""",delete double quotes including contents
d',delete to previous mark
d`,delete to previous position
dH,delete to top of screen
dM,delete to middle of screen
dL,delete to bottom of screen
dCtrl+U,delete half a screen up
dCtrl+D,delete half a screen down
dCtrl+F,delete one screen down
dCtrl+B,delete one screen up
dCtrl+E,delete one line down
dCtrl+Y,delete one line up
dCtrl+W,delete one word backward
dCtrl+U,delete one word forward
dCtrl+T,delete one tab backward
dCtrl+D,delete one tab forward
dCtrl+L,delete one line forward
dCtrl+K,delete to end of line
dCtrl+J,delete to end of paragraph
dCtrl+Q,delete to end of block
dCtrl+R,delete to end of function
dCtrl+S,delete to end of class
dCtrl+P,delete to end of method
dCtrl+O,delete to end of statement
dCtrl+N,delete to end of expression
dCtrl+M,delete to end of assignment
dCtrl+G,delete to end of loop
dCtrl+H,delete to end of condition
dCtrl+I,delete to end of switch
dCtrl+J,delete to end of case
dCtrl+K,delete to end of default
dCtrl+L,delete to end of try
dCtrl+M,delete to end of catch
dCtrl+N,delete to end of finally
dCtrl+O,delete to end of function call
dCtrl+P,delete to end of function definition
dCtrl+Q,delete to end of class definition
dCtrl+R,delete to end of method definition
dCtrl+S,delete to end of statement
dCtrl+T,delete to end of expression
dCtrl+U,delete to end of assignment
dCtrl+V,delete to end of loop
dCtrl+W,delete to end of condition
dCtrl+X,delete to end of switch
dCtrl+Y,delete to end of case
dCtrl+Z,delete to end of default
dCtrl+A,delete to end of try
dCtrl+B,delete to end of catch
dCtrl+C,delete to end of finally
dCtrl+D,delete to end of function call
dCtrl+E,delete to end of function definition
dCtrl+F,delete to end of class definition
dCtrl+G,delete to end of method definition
dCtrl+H,delete to end of statement
dCtrl+I,delete to end of expression
dCtrl+J,delete to end of assignment
dCtrl+K,delete to end of loop
dCtrl+L,delete to end of condition
dCtrl+M,delete to end of switch
dCtrl+N,delete to end of case
dCtrl+O,delete to end of default
dCtrl+P,delete to end of try
dCtrl+Q,delete to end of catch
dCtrl+R,delete to end of finally
dCtrl+S,delete to end of function call
dCtrl+T,delete to end of function definition
dCtrl+U,delete to end of class definition
dCtrl+V,delete to end of method definition
dCtrl+W,delete to end of statement
dCtrl+X,delete to end of expression
dCtrl+Y,delete to end of assignment
dCtrl+Z,delete to end of loop
dCtrl+A,delete to end of condition
dCtrl+B,delete to end of switch
dCtrl+C,delete to end of case
dCtrl+D,delete to end of default
dCtrl+E,delete to end of try
dCtrl+F,delete to end of catch
dCtrl+G,delete to end of finally
dCtrl+H,delete to end of function call
dCtrl+I,delete to end of function definition
dCtrl+J,delete to end of class definition
dCtrl+K,delete to end of method definition
dCtrl+L,delete to end of statement
dCtrl+M,delete to end of expression
dCtrl+N,delete to end of assignment
dCtrl+O,delete to end of loop
dCtrl+P,delete to end of condition
dCtrl+Q,delete to end of switch
dCtrl+R,delete to end of case
dCtrl+S,delete to end of default
dCtrl+T,delete to end of try
dCtrl+U,delete to end of catch
dCtrl+V,delete to end of finally
dCtrl+W,delete to end of function call
dCtrl+X,delete to end of function definition
dCtrl+Y,delete to end of class definition
dCtrl+Z,delete to end of method definition
dCtrl+A,delete to end of statement
dCtrl+B,delete to end of expression
dCtrl+C,delete to end of assignment
dCtrl+D,delete to end of loop
dCtrl+E,delete to end of condition
dCtrl+F,delete to end of switch
dCtrl+G,delete to end of case
dCtrl+H,delete to end of default
dCtrl+I,delete to end of try
dCtrl+J,delete to end of catch
dCtrl+K,delete to end of finally
yy,copy (yank) entire line
Y,copy (yank) entire line
y$,copy (yank) from cursor to end of line
y0,copy (yank) from cursor to beginning of line
y^,copy (yank) from cursor to first non-blank character of line
yG,copy (yank) from cursor to end of file
ygg,copy (yank) from cursor to beginning of file
y2j,copy (yank) current line and next line
y2k,copy (yank) current line and previous line
y3w,copy (yank) current word and next two words
y3b,copy (yank) current word and previous two words
y/word,copy (yank) from cursor to next occurrence of 'word'
y?word,copy (yank) from cursor to previous occurrence of 'word'
y%,"copy (yank) from cursor to matching parenthesis, bracket, or brace"
y$h,"copy (yank) from cursor to end of line, excluding the last character"
y0l,"copy (yank) from cursor to beginning of line, including the first character"
yy,copy the current line
2yy,copy the current line and the next line
3yy,copy the current line and the next two lines
yyj,copy the current line and the line below
yyk,copy the current line and the line above
y$y$,copy from the cursor to the end of the line
y0y0,copy from the cursor to the beginning of the line
yG,copy from the cursor to the end of the file
ygg,copy from the cursor to the beginning of the file
y2w,copy the current word and the next word
y3b,copy the current word and the previous two words
y2j,"copy the current line and the next line, then move down two lines"
y2k,"copy the current line and the previous line, then move up two lines"
y/word,copy from the cursor to the next occurrence of 'word'
y?word,copy from the cursor to the previous occurrence of 'word'
"y2f,","copy from the cursor to the next comma, including the comma"
"y2F,","copy from the cursor to the previous comma, including the comma"
"y2t,",copy from the cursor to just before the next comma
"y2T,",copy from the cursor to just before the previous comma
dd,delete the entire line
3dd,delete three consecutive lines
d$,delete from the cursor to the end of the line
d0,delete from the cursor to the beginning of the line
dG,delete from the cursor to the end of the file
dgg,delete from the cursor to the beginning of the file
dW,delete the current word and the following whitespace
dB,delete the current word and the preceding whitespace
dE,delete to the end of the current word
dF<char>,delete up to and including the next occurrence of <char> in the current line
dT<char>,delete up to but not including the next occurrence of <char> in the current line
d/<pattern>,delete from the cursor to the next occurrence of <pattern>
d?pattern,delete from the cursor to the previous occurrence of <pattern>
d%,"delete the content inside the current pair of matching parentheses, brackets, or braces"
daw,"delete a word under the cursor, including surrounding whitespace"
diw,"delete the word under the cursor, excluding surrounding whitespace"
d2w,delete the next two words
d3j,delete the next three lines
d3k,delete the previous three lines
dd,delete the current line
2dd,delete the next two lines
d3j,delete the current line and the next two lines
d5k,delete the current line and the previous four lines
dG,delete from the current line to the end of the file
dgg,delete from the current line to the beginning of the file
d$,delete from the cursor to the end of the line
d0,delete from the cursor to the beginning of the line
d2w,delete the next two words
d3b,delete the previous three words
"d2f,",delete up to and including the next comma
d2t.,delete up to but not including the next period
d/word,delete up to and including the next occurrence of 'word'
d?word,delete up to and including the previous occurrence of 'word'
daw,delete a word including surrounding whitespace
diw,delete inner word without surrounding whitespace
dap,delete a paragraph
dab,delete a block of text surrounded by braces
d2dd,delete the current line and the next line
d2D,delete from the cursor to the end of the next line
p,paste after the cursor
P,paste before the cursor
2p,paste the yanked content twice after the cursor
ywP,yank a word and paste it before the cursor
dwp,delete a word and paste it after the cursor
y$P,yank from the cursor to the end of the line and paste it before the cursor
3ddp,delete three lines and paste them after the cursor
yyP,yank the current line and paste it before the cursor
d2jP,delete two lines below and paste them before the cursor
yapP,yank a paragraph and paste it before the cursor
d2wp,delete two words and paste them after the cursor
y2wp,yank two words and paste them after the cursor
d$P,delete from the cursor to the end of the line and paste it before the cursor
y2jP,yank two lines below and paste them before the cursor
d2ddp,delete two lines and paste them after the cursor
y2ddP,yank two lines and paste them before the cursor
d2wp,delete two words and paste them after the cursor
P,paste before the cursor
dP,delete the line and paste it before the cursor
yyP,yank the current line and paste it before the cursor
2P,paste the yanked content twice before the cursor
d2P,delete two lines and paste them before the cursor
P2,paste the yanked content twice before the cursor
Pj,paste the yanked content before the current line and move down one line
Pk,paste the yanked content before the current line and move up one line
P$,paste the yanked content before the end of the line
P0,paste the yanked content before the beginning of the line
Pw,paste the yanked content before the current word
Pe,paste the yanked content before the current word's end
P2w,paste the yanked content before the next two words
P3e,paste the yanked content before the end of the next three words
P%,paste the yanked content before the matching parenthesis
P/,paste the yanked content before the next occurrence of the search pattern
Pf,paste the yanked content before the next occurrence of the character 'f' in the current line
P2f,paste the yanked content before the next two occurrences of the character 'f' in the current line
v,select text using character mode
d,delete (cut) the marked text
y,yank (copy) the marked text
c,change the marked text
p,paste after the cursor
P,paste before the cursor
u,undo the last change
Ctrl+r,redo the last undone change
x,delete the character under the cursor
X,delete the character before the cursor
dd,delete the current line
yy,yank the current line
3dd,delete the current and next two lines
3yy,yank the current and next two lines
dw,delete the current word
3dw,delete the current and next two words
cw,change the current word
3cw,change the current and next two words
D,delete from the cursor to the end of the line
C,change from the cursor to the end of the line
ciw,change inside the current word
diw,delete inside the current word
yiw,yank inside the current word
ci(,change inside the parentheses
di(,delete inside the parentheses
yi(,yank inside the parentheses
ca(,change around the parentheses
da(,delete around the parentheses
ya(,yank around the parentheses
"ci""",change inside the double quotes
"di""",delete inside the double quotes
"yi""",yank inside the double quotes
"ca""",change around the double quotes
"da""",delete around the double quotes
"ya""",yank around the double quotes
ci',change inside the single quotes
di',delete inside the single quotes
yi',yank inside the single quotes
ca',change around the single quotes
da',delete around the single quotes
ya',yank around the single quotes
ci{,change inside the curly braces
di{,delete inside the curly braces
yi{,yank inside the curly braces
ca{,change around the curly braces
da{,delete around the curly braces
ya{,yank around the curly braces
ci[,change inside the square brackets
di[,delete inside the square brackets
yi[,yank inside the square brackets
ca[,change around the square brackets
da[,delete around the square brackets
ya[,yank around the square brackets
"ci""",change inside the double quotes
"di""",delete inside the double quotes
"yi""",yank inside the double quotes
"ca""",change around the double quotes
"da""",delete around the double quotes
"ya""",yank around the double quotes
ci',change inside the single quotes
di',delete inside the single quotes
yi',yank inside the single quotes
ca',change around the single quotes
da',delete around the single quotes
ya',yank around the single quotes
ci{,change inside the curly braces
di{,delete inside the curly braces
yi{,yank inside the curly braces
ca{,change around the curly braces
da{,delete around the curly braces
ya{,yank around the curly braces
ci[,change inside the square brackets
di[,delete inside the square brackets
yi[,yank inside the square brackets
ca[,change around the square brackets
da[,delete around the square brackets
ya[,yank around the square brackets
"ci""",change inside the double quotes
"di""",delete inside the double quotes
"yi""",yank inside the double quotes
"ca""",change around the double quotes
"da""",delete around the double quotes
"ya""",yank around the double quotes
V,select lines using line mode
Vj,select the current line and the line below
V2j,select the current line and the next two lines
V3k,select the current line and the two lines above
V$,select from the cursor position to the end of the current line
V0,select from the cursor position to the beginning of the current line
Vgg,select from the cursor position to the beginning of the file
VG,select from the cursor position to the end of the file
Vw,select the current word
V2w,select the current word and the next word
Vb,select the current word and the previous word
"Vf,",select from the cursor position to the next comma
"V2f,",select from the cursor position to the second comma ahead
V3t.,select from the cursor position to just before the third occurrence of a period
V3T.,select from the cursor position to just after the third occurrence of a period
Vd$,delete the selected lines from the cursor position to the end of the line
Vd0,delete the selected lines from the cursor position to the beginning of the line
Vdgg,delete the selected lines from the cursor position to the beginning of the file
VdG,delete the selected lines from the cursor position to the end of the file
Vdw,delete the selected word
V2dw,delete the selected word and the next word
Vdb,delete the selected word and the previous word
"Vdf,",delete the selected text from the cursor position to the next comma
"V2df,",delete the selected text from the cursor position to the second comma ahead
V3dt.,delete the selected text from the cursor position to just before the third occurrence of a period
V3dT.,delete the selected text from the cursor position to just after the third occurrence of a period
Ctrl+v,select text using block mode
"Ctrl+v, I",insert text at the beginning of each line in the block
"Ctrl+v, A",append text at the end of each line in the block
"Ctrl+v, d",delete the selected block
"Ctrl+v, y",yank (copy) the selected block
"Ctrl+v, c",change the selected block
"Ctrl+v, >",indent the selected block
"Ctrl+v, <",un-indent the selected block
"Ctrl+v, r",replace the selected block with a single character
"Ctrl+v, s",substitute the selected block with new text
"Ctrl+v, o",move the cursor to the other end of the block
"Ctrl+v, p",paste the yanked block after the cursor
"Ctrl+v, P",paste the yanked block before the cursor
"Ctrl+v, u",convert the selected block to uppercase
"Ctrl+v, l",convert the selected block to lowercase
"Ctrl+v, ~",toggle the case of the selected block
"Ctrl+v, J",join the lines in the selected block
"Ctrl+v, D",delete the selected block without yanking
"Ctrl+v, C",change the selected block without yanking
"Ctrl+v, Y",yank the selected block without deleting
"Ctrl+v, /",search within the selected block
"Ctrl+v, n",find the next occurrence within the selected block
"Ctrl+v, N",find the previous occurrence within the selected block
"Ctrl+v,",s/old/new/g: replace 'old' with 'new' globally in the selected block
"Ctrl+v,",s/old/new/gc: replace 'old' with 'new' globally in the selected block with confirmation
"Ctrl+v,",sort: sort the lines in the selected block
"Ctrl+v,",!command: execute an external command on the selected block
"Ctrl+v,",r filename: read the contents of 'filename' into the selected block
"Ctrl+v,",w filename: write the selected block to 'filename'
"Ctrl+v,",e filename: open 'filename' and replace the selected block
"Ctrl+v,",!sort: sort the lines in the selected block using an external sort command
"Ctrl+v,",!grep pattern: filter the lines in the selected block using an external grep command
"Ctrl+v,",!awk '{print $1
"Ctrl+v,",!sed 's/old/new/g': replace 'old' with 'new' in the selected block using an external sed command
"Ctrl+v,",!tr 'a-z' 'A-Z': convert the selected block to uppercase using an external tr command
"Ctrl+v,",!tr 'A-Z' 'a-z': convert the selected block to lowercase using an external tr command
"Ctrl+v,",!wc -l: count the number of lines in the selected block using an external wc command
"Ctrl+v,",!uniq: remove duplicate lines from the selected block using an external uniq command
"Ctrl+v,",!sort | uniq: sort and remove duplicate lines from the selected block using external sort and uniq commands
"Ctrl+v,","!paste -d, -s: join the lines in the selected block with commas using an external paste command"
"Ctrl+v,",!paste -d' ' -s: join the lines in the selected block with spaces using an external paste command
"Ctrl+v,",!paste -d'\t' -s: join the lines in the selected block with tabs using an external paste command
"Ctrl+v,",!paste -d'\n' -s: join the lines in the selected block with newlines using an external paste command
"Ctrl+v,",!paste -d'|' -s: join the lines in the selected block with pipes using an external paste command
"Ctrl+v,",!paste -d';' -s: join the lines in the selected block with semicolons using an external paste command
"Ctrl+v,",!paste -d':' -s: join the lines in the selected block with colons using an external paste command
"Ctrl+v,",!paste -d'_' -s: join the lines in the selected block with underscores using an external paste command
"Ctrl+v,",!paste -d' ' -s | tr ' ' '\n': join the lines in the selected block with spaces and then convert to newlines using external paste and tr commands
"Ctrl+v,","!paste -d',' -s | tr ',' '\n': join the lines in the selected block with commas and then convert to newlines using external paste and tr commands"
"Ctrl+v,",!paste -d'|' -s | tr '|' '\n': join the lines in the selected block with pipes and then convert to newlines using external paste and tr commands
"Ctrl+v,",!paste -d';' -s | tr ';' '\n': join the lines in the selected block with semicolons and then convert to newlines using external paste and tr commands
d$,delete from cursor to end of line
dG,delete from cursor to end of file
dgg,delete from cursor to beginning of file
d%,delete from cursor to matching parenthesis or bracket
d2j,delete current line and next two lines
d3w,delete current word and next two words
d3t;,delete from cursor to third occurrence of ';'
d/word,delete from cursor to next occurrence of 'word'
d?word,delete from cursor to previous occurrence of 'word'
"d2f,","delete from cursor to second occurrence of ','"
d3F.,delete from cursor to third occurrence of '.'
d2),delete from cursor to second closing parenthesis
d2],delete from cursor to second closing bracket
"d2""",delete from cursor to second double quote
d2',delete from cursor to second single quote
d2`,delete from cursor to second backtick
d2<,delete from cursor to second less-than sign
aw,select a word
vaw,visually select a word
daw,delete a word
caw,change a word
yaw,yank (copy) a word
daw,delete a word
caw,change a word
yaw,yank (copy) a word
vaw,visually select a word
daw,delete a word
caw,change a word
yaw,yank (copy) a word
vaw,visually select a word
daw,delete a word
caw,change a word
yaw,yank (copy) a word
vaw,visually select a word
daw,delete a word
caw,change a word
yaw,yank (copy) a word
ab,select a block with ()
dab,delete a block with ()
dab,delete a block with ()
dab,delete a block with ()
dab,delete a block with ()
dab,delete a block with ()
dab,delete a block with ()
dab,delete a block with ()
dab,delete a block with ()
dab,delete a block with ()
dab,delete a block with ()
dab,delete a block with ()
dab,delete a block with ()
dab,delete a block with ()
dab,delete a block with ()
dab,delete a block with ()
dab,delete a block with ()
dab,delete a block with ()
dab,delete a block with ()
dab,delete a block with ()
aB,select a block with {
ciB,change inside a block with {
caB,change around a block with {
diB,delete inside a block with {
daB,delete around a block with {
yiB,yank inside a block with {
yaB,yank around a block with {
viB,visually select inside a block with {
vaB,visually select around a block with {
diB,delete inside a block with {
daB,delete around a block with {
ciB,change inside a block with {
caB,change around a block with {
yiB,yank inside a block with {
yaB,yank around a block with {
viB,visually select inside a block with {
vaB,visually select around a block with {
diB,delete inside a block with {
daB,delete around a block with {
ciB,change inside a block with {
caB,change around a block with {
<at>,select a block with <>
<a>,select a block with ()
<b>,select a block with []
<c>,select a block with {
<d>,"select a block with """""""""
<f>,select a block with ''
<g>,select a block with ``
<h>,select a block with <> and delete it
<i>,select a block with () and delete it
<j>,select a block with [] and delete it
<k>,select a block with {
<l>,"select a block with """""""" and delete it"
<m>,select a block with '' and delete it
<n>,select a block with `` and delete it
<o>,select a block with <> and yank it
<p>,select a block with () and yank it
<q>,select a block with [] and yank it
<r>,select a block with {
<s>,"select a block with """""""" and yank it"
ib,select inner block with ()
yiB,yank inner block with {
ciB,change inner block with {
diB,delete inner block with {
viB,visually select inner block with {
yiBf{,yank inner block with {
ciBf{,change inner block with {
diBf{,delete inner block with {
viBf{,visually select inner block with {
yiB/,yank inner block with {
ciB/,change inner block with {
diB/,delete inner block with {
viB/,visually select inner block with {
yiB%,yank inner block with {
ciB%,change inner block with {
diB%,delete inner block with {
viB%,visually select inner block with {
yiB),yank inner block with {
ciB),change inner block with {
diB),delete inner block with {
viB),visually select inner block with {
it,select inner block with <>
ci<,change inner block with <>
di<,delete inner block with <>
yi<,yank inner block with <>
ca<,change around block with <>
da<,delete around block with <>
ya<,yank around block with <>
dF>,delete until the previous '>' character
dT>,delete until just before the previous '>' character
cF>,change until the previous '>' character
cT>,change until just before the previous '>' character
yF>,yank until the previous '>' character
yT>,yank until just before the previous '>' character
d/<pattern>,delete until the previous occurrence of <pattern>
c/<pattern>,change until the previous occurrence of <pattern>
y/<pattern>,yank until the previous occurrence of <pattern>
d/<pattern>/,delete until the next occurrence of <pattern>
c/<pattern>/,change until the next occurrence of <pattern>
y/<pattern>/,yank until the next occurrence of <pattern>
d%,delete until the matching parenthesis or bracket
c%,change until the matching parenthesis or bracket
y%,yank until the matching parenthesis or bracket
dW,delete the current word
cW,change the current word
yW,yank the current word
dB,delete the current block
cB,change the current block
yB,yank the current block
yw,yank word
yW,yank WORD
yy,yank current line
y$,yank to end of line
y0,yank to beginning of line
yG,yank to end of file
ygg,yank to beginning of file
y2w,yank two words
y3j,yank three lines down
y3k,yank three lines up
y$y,yank from cursor to end of line
y0y,yank from cursor to beginning of line
yGg,yank from cursor to end of file
yggg,yank from cursor to beginning of file
y2j,yank two lines down
y2k,yank two lines up
d,delete (cut) the marked text
dw,delete word
dW,delete WORD
de,delete to end of word
d$,delete to end of line
d0,delete to beginning of line
dd,delete current line
dG,delete to end of file
dgg,delete to beginning of file
dH,delete to top of screen
dL,delete to bottom of screen
d3w,delete three words
d2j,delete two lines down
d2k,delete two lines up
d/word,delete up to next occurrence of 'word'
d?word,delete up to previous occurrence of 'word'
d%,delete to matching parenthesis or bracket
daw,delete a word including surrounding whitespace
diw,delete inner word without surrounding whitespace
"d2f,","delete up to and including the second occurrence of ','"
"d2F,","delete up to and including the second occurrence of ',' backwards"
d3t.,delete up to and including the third occurrence of '.'
d3T.,delete up to and including the third occurrence of '.' backwards
p,paste the text after the cursor
yw,yank the current word
yW,yank the current WORD
yy,yank the current line
y$,yank from the cursor to the end of the line
yG,yank from the cursor to the end of the file
d$,delete from the cursor to the end of the line
dG,delete from the cursor to the end of the file
d2w,delete the next two words
d2W,delete the next two WORDS
d3j,delete the next three lines
d3k,delete the previous three lines
d/hello,delete until the next occurrence of 'hello'
d?world,delete until the previous occurrence of 'world'
dF',delete until the previous single quote character
dT',delete until just before the previous single quote character
d%,delete until the matching parenthesis or bracket
daw,delete a word including surrounding whitespace
"di""",delete inside double quotes
di',delete inside single quotes
di(,delete inside parentheses
di[,delete inside square brackets
di{,delete inside curly braces
di<,delete inside angle brackets
di>,delete inside angle brackets
di[,delete inside square brackets
"di""",delete inside double quotes
di',delete inside single quotes
di(,delete inside parentheses
di[,delete inside square brackets
di{,delete inside curly braces
di<,delete inside angle brackets
di>,delete inside angle brackets
di[,delete inside square brackets
"di""",delete inside double quotes
di',delete inside single quotes
di(,delete inside parentheses
di[,delete inside square brackets
di{,delete inside curly braces
di<,delete inside angle brackets
di>,delete inside angle brackets
di[,delete inside square brackets
"di""",delete inside double quotes
di',delete inside single quotes
di(,delete inside parentheses
di[,delete inside square brackets
di{,delete inside curly braces
di<,delete inside angle brackets
di>,delete inside angle brackets
di[,delete inside square brackets
"di""",delete inside double quotes
di',delete inside single quotes
di(,delete inside parentheses
di[,delete inside square brackets
di{,delete inside curly braces
di<,delete inside angle brackets
di>,delete inside angle brackets
di[,delete inside square brackets
"di""",delete inside double quotes
di',delete inside single quotes
di(,delete inside parentheses
di[,delete inside square brackets
di{,delete inside curly braces
di<,delete inside angle brackets
